timestamp,tower_id,latency_ms,packet_loss,throughput_mbps
2026-04-18 08:00,T1,20,0.1,55
2026-04-18 08:00,T2,45,0.4,35
2026-04-18 08:00,T3,15,0.05,65
2026-04-18 08:00,T4,70,1.2,25
2026-04-18 12:00,T1,25,0.2,50
2026-04-18 12:00,T2,55,0.6,30
2026-04-18 12:00,T3,18,0.08,60
2026-04-18 12:00,T4,80,1.5,20

2026-04-19 08:00,T1,22,0.15,52
2026-04-19 08:00,T2,50,0.5,32
2026-04-19 08:00,T3,16,0.06,62
2026-04-19 08:00,T4,75,1.4,22
2026-04-19 12:00,T1,28,0.25,48
2026-04-19 12:00,T2,60,0.7,28
2026-04-19 12:00,T3,20,0.1,58
2026-04-19 12:00,T4,85,1.8,18

2026-04-20 08:00,T1,24,0.2,50
2026-04-20 08:00,T2,65,0.8,26
2026-04-20 08:00,T3,17,0.07,60
2026-04-20 08:00,T4,90,2.0,15
2026-04-20 12:00,T1,30,0.3,45
2026-04-20 12:00,T2,70,1.0,25
2026-04-20 12:00,T3,22,0.12,55
2026-04-20 12:00,T4,95,2.5,12
